CustomerID,Recency,Frequency,Monetary,Churn_Status,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,325,12,77556.46,Churned,2,4,4,10,"At Risk"
12347,2,8,5633.32,Active,4,4,4,12,Champions
12348,75,5,2019.40,Active,3,3,3,9,"Loyal Customers"
12349,18,4,4428.69,Active,4,3,4,11,"Loyal Customers"
12350,310,1,334.40,Churned,2,1,1,4,Lost
12351,375,1,300.93,Churned,2,1,1,4,Lost
12352,36,10,2849.84,Active,3,4,4,11,"Loyal Customers"
12353,204,2,406.76,Churned,2,2,2,6,Lost
12354,232,1,1079.40,Churned,2,1,3,6,Others
12355,214,2,947.61,Churned,2,2,3,7,Others
12356,22,6,6373.68,Active,4,3,4,11,"Loyal Customers"
12357,33,3,18287.66,Active,3,2,4,9,Others
12358,1,5,3887.07,Active,4,3,4,11,"Loyal Customers"
12359,57,10,8935.94,Active,3,4,4,11,"Loyal Customers"
12360,52,8,4252.89,Active,3,4,4,11,"Loyal Customers"
12361,287,4,511.25,Churned,2,3,2,7,"At Risk"
12362,3,11,5356.23,Active,4,4,4,12,Champions
12363,109,2,552.00,Churned,2,2,2,6,Lost
12364,7,4,1313.10,Active,4,3,3,10,"Loyal Customers"
12365,291,2,641.38,Churned,2,2,2,6,Lost
12366,633,1,500.24,Churned,1,1,2,4,Lost
12367,4,1,168.90,Active,4,1,1,6,"New Customers"
12368,628,1,917.70,Churned,1,1,3,5,Others
12369,413,3,1791.15,Churned,1,2,3,6,Others
12370,51,7,4320.31,Active,3,3,4,10,"Loyal Customers"
12371,44,5,4067.38,Active,3,3,4,10,"Loyal Customers"
12372,71,3,1298.04,Active,3,2,3,8,Others
12373,311,3,1127.65,Churned,2,2,3,7,Others
12374,25,4,2989.22,Active,4,3,4,11,"Loyal Customers"
12375,10,2,457.50,Active,4,2,2,8,"New Customers"
12376,389,2,503.15,Churned,1,2,2,5,Lost
12377,315,4,3426.32,Churned,2,3,4,9,"At Risk"
12378,129,2,5416.32,Churned,2,2,4,8,Others
12379,81,4,1620.22,Active,3,3,3,9,"Loyal Customers"
12380,21,11,9676.30,Active,4,4,4,12,Champions
12381,4,5,1845.31,Active,4,3,3,10,"Loyal Customers"
