Description,Churn_Status,Times_Purchased,Total_Quantity
"WHITE HANGING HEART T-LIGHT HOLDER",Active,3631,70776
"REGENCY CAKESTAND 3 TIER",Active,2626,21394
"JUMBO BAG RED RETROSPOT",Active,2269,66977
"ASSORTED COLOUR BIRD ORNAMENT",Active,2137,69431
"LUNCH BAG  BLACK SKULL.",Active,1739,19160
"PARTY BUNTING",Active,1648,18987
"REX CASH+CARRY JUMBO SHOPPER",Active,1556,3058
"WHITE HANGING HEART T-LIGHT HOLDER",Churned,1550,22864
"LUNCH BAG SPACEBOY DESIGN ",Active,1545,14905
"PAPER CHAIN KIT 50'S CHRISTMAS ",Active,1534,24049
POSTAGE,Active,1503,4538
"LUNCH BAG CARS BLUE",Active,1489,16900
"JUMBO STORAGE BAG SUKI",Active,1441,21621
"HOME BUILDING BLOCK WORD",Active,1438,5821
"JUMBO SHOPPER VINTAGE RED PAISLEY",Active,1432,20547
"HEART OF WICKER SMALL",Active,1430,22078
"60 TEATIME FAIRY CAKE CASES",Active,1398,36009
"LUNCH BAG RED RETROSPOT",Active,1395,18373
"LUNCH BAG WOODLAND",Active,1391,15935
"WOODEN FRAME ANTIQUE WHITE ",Active,1390,11772
"HEART OF WICKER LARGE",Active,1372,14644
"STRAWBERRY CERAMIC TRINKET BOX",Active,1348,24146
"WOODEN PICTURE FRAME WHITE FINISH",Active,1318,13032
"NATURAL SLATE HEART CHALKBOARD ",Active,1309,11596
"PACK OF 60 PINK PAISLEY CAKE CASES",Active,1287,43309
"CHOCOLATE HOT WATER BOTTLE",Active,1256,9160
"BAKING SET 9 PIECE RETROSPOT ",Active,1250,7008
"JUMBO BAG STRAWBERRY",Active,1249,30957
"SCOTTIE DOG HOT WATER BOTTLE",Active,1240,8056
"RED HANGING HEART T-LIGHT HOLDER",Active,1238,13501
"PACK OF 72 RETROSPOT CAKE CASES",Active,1197,35833
"VINTAGE SNAP CARDS",Active,1194,21454
"VICTORIAN GLASS HANGING T-LIGHT",Active,1193,31429
"6 RIBBONS RUSTIC CHARM",Active,1185,14107
"JUMBO  BAG BAROQUE BLACK WHITE",Active,1155,24519
"PLEASE ONE PERSON METAL SIGN",Active,1148,19800
"PAPER CHAIN KIT VINTAGE CHRISTMAS",Active,1124,15537
"GIN + TONIC DIET METAL SIGN",Active,1105,13590
"HOT WATER BOTTLE TEA AND SYMPATHY",Active,1097,7864
"LOVE BUILDING BLOCK WORD",Active,1089,4010
"RECIPE BOX PANTRY YELLOW DESIGN",Active,1084,8636
"ALARM CLOCK BAKELIKE RED ",Active,1072,8311
"HAND OVER THE CHOCOLATE   SIGN ",Active,1030,13383
"PLASTERS IN TIN SPACEBOY",Active,1026,13235
"PINK CREAM FELT CRAFT TRINKET BOX ",Active,1018,16854
"ROUND SNACK BOXES SET OF4 WOODLAND ",Active,1016,13609
"HAND WARMER OWL DESIGN",Active,1012,12808
"JUMBO BAG PINK VINTAGE PAISLEY",Active,1007,20706
"SPACEBOY LUNCH BOX ",Active,999,19214
"LUNCH BAG PINK POLKADOT",Active,999,10313
